machine_code,cycle_start_time,cycle_end_time,cycle_time,avg_payload
RTIO_MJ_15H225,1/05/2025 13:16:26,1/05/2025 13:16:47,21,27.773501
RTIO_MJ_15H225,1/05/2025 13:17:11,1/05/2025 13:18:32,81,30.198244
RTIO_MJ_15H225,1/05/2025 13:18:59,1/05/2025 13:19:12,13,37.076456
RTIO_MJ_15H225,1/05/2025 13:19:35,1/05/2025 13:19:47,12,32.832582
RTIO_MJ_15H225,1/05/2025 13:20:11,1/05/2025 13:20:23,12,33.085126
RTIO_MJ_15H225,1/05/2025 13:20:43,1/05/2025 13:20:54,11,31.810029
RTIO_MJ_15H225,1/05/2025 13:21:15,1/05/2025 13:21:28,13,35.291168
RTIO_MJ_15H225,1/05/2025 13:21:48,1/05/2025 13:22:00,12,34.300591
RTIO_MJ_15H225,1/05/2025 13:22:19,1/05/2025 13:22:32,13,31.812331
RTIO_MJ_15H225,1/05/2025 13:22:59,1/05/2025 13:23:10,11,18.95345
RTIO_MJ_15H225,1/05/2025 13:48:55,1/05/2025 13:49:17,22,33.098242
RTIO_MJ_15H225,1/05/2025 13:49:38,1/05/2025 13:49:50,12,31.077749
RTIO_MJ_15H225,1/05/2025 13:50:10,1/05/2025 13:50:21,11,25.314341
RTIO_MJ_15H225,1/05/2025 13:50:41,1/05/2025 13:50:53,12,30.73786
RTIO_MJ_15H225,1/05/2025 13:51:11,1/05/2025 13:51:23,12,29.39092
RTIO_MJ_15H225,1/05/2025 13:51:46,1/05/2025 13:51:57,11,28.936259
RTIO_MJ_15H225,1/05/2025 13:52:22,1/05/2025 13:52:34,12,27.271919
RTIO_MJ_15H225,1/05/2025 13:52:57,1/05/2025 13:53:10,13,33.791459
RTIO_MJ_15H225,1/05/2025 13:53:31,1/05/2025 13:53:45,14,34.953666
RTIO_MJ_15H225,1/05/2025 13:54:08,1/05/2025 13:55:36,88,30.680684
RTIO_MJ_15H225,1/05/2025 13:56:02,1/05/2025 13:56:14,12,38.635533
RTIO_MJ_15H225,1/05/2025 13:56:38,1/05/2025 13:56:51,13,37.957857
